variant,case,position,bar,half,chord,factor_exact,factor_decimal
source_faithful,ordinary,1,1,1,C7,127/2112,0.06013257575757576
source_faithful,ordinary,2,1,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,3,2,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,4,2,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,5,3,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,6,3,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,7,4,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,8,4,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,9,5,1,F7,11/90,0.12222222222222222
source_faithful,ordinary,10,5,2,C7,7/120,0.058333333333333334
source_faithful,ordinary,11,6,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,12,6,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,13,7,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,14,7,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,15,8,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,16,8,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,17,9,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,18,9,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,19,10,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,20,10,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,21,11,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,22,11,2,C7,73/120,0.6083333333333333
source_faithful,ordinary,23,12,1,C7,73/120,0.6083333333333333
source_faithful,ordinary,24,12,2,G7,7/120,0.058333333333333334
source_faithful,exotic,1,1,1,C7,127/2112,0.06013257575757576
source_faithful,exotic,2,1,2,C7,73/120,0.6083333333333333
source_faithful,exotic,3,2,1,C7,73/120,0.6083333333333333
source_faithful,exotic,4,2,2,C7,73/120,0.6083333333333333
source_faithful,exotic,5,3,1,C7,73/120,0.6083333333333333
source_faithful,exotic,6,3,2,C7,73/120,0.6083333333333333
source_faithful,exotic,7,4,1,C7,73/120,0.6083333333333333
source_faithful,exotic,8,4,2,C7,73/120,0.6083333333333333
source_faithful,exotic,9,5,1,F7,11/90,0.12222222222222222
source_faithful,exotic,10,5,2,Bb7,11/90,0.12222222222222222
source_faithful,exotic,11,6,1,Ebm,5/72,0.06944444444444445
source_faithful,exotic,12,6,2,Ab7,9/16,0.5625
source_faithful,exotic,13,7,1,Dbm,5/72,0.06944444444444445
source_faithful,exotic,14,7,2,Gb7,9/16,0.5625
source_faithful,exotic,15,8,1,Bm,5/72,0.06944444444444445
source_faithful,exotic,16,8,2,E7,9/16,0.5625
source_faithful,exotic,17,9,1,Am,5/72,0.06944444444444445
source_faithful,exotic,18,9,2,D7,9/16,0.5625
source_faithful,exotic,19,10,1,D7,73/120,0.6083333333333333
source_faithful,exotic,20,10,2,D7,73/120,0.6083333333333333
source_faithful,exotic,21,11,1,D7,73/120,0.6083333333333333
source_faithful,exotic,22,11,2,D7,73/120,0.6083333333333333
source_faithful,exotic,23,12,1,D7,73/120,0.6083333333333333
source_faithful,exotic,24,12,2,G7,11/90,0.12222222222222222
paper_style_proposed,ordinary,1,1,1,C7,409/6336,0.06455176767676768
paper_style_proposed,ordinary,2,1,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,3,2,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,4,2,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,5,3,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,6,3,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,7,4,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,8,4,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,9,5,1,F7,12/97,0.12371134020618557
paper_style_proposed,ordinary,10,5,2,C7,25/388,0.06443298969072164
paper_style_proposed,ordinary,11,6,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,12,6,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,13,7,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,14,7,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,15,8,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,16,8,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,17,9,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,18,9,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,19,10,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,20,10,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,21,11,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,22,11,2,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,23,12,1,C7,117/194,0.6030927835051546
paper_style_proposed,ordinary,24,12,2,G7,25/388,0.06443298969072164
paper_style_proposed,exotic,1,1,1,C7,409/6336,0.06455176767676768
paper_style_proposed,exotic,2,1,2,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,3,2,1,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,4,2,2,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,5,3,1,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,6,3,2,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,7,4,1,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,8,4,2,C7,117/194,0.6030927835051546
paper_style_proposed,exotic,9,5,1,F7,12/97,0.12371134020618557
paper_style_proposed,exotic,10,5,2,Bbm,13/194,0.06701030927835051
paper_style_proposed,exotic,11,6,1,Eb7,9/16,0.5625
paper_style_proposed,exotic,12,6,2,Abm,13/194,0.06701030927835051
paper_style_proposed,exotic,13,7,1,Db7,9/16,0.5625
paper_style_proposed,exotic,14,7,2,Gb7,12/97,0.12371134020618557
paper_style_proposed,exotic,15,8,1,Bm,13/194,0.06701030927835051
paper_style_proposed,exotic,16,8,2,E7,9/16,0.5625
paper_style_proposed,exotic,17,9,1,Am,13/194,0.06701030927835051
paper_style_proposed,exotic,18,9,2,D7,9/16,0.5625
paper_style_proposed,exotic,19,10,1,D7,117/194,0.6030927835051546
paper_style_proposed,exotic,20,10,2,D7,117/194,0.6030927835051546
paper_style_proposed,exotic,21,11,1,D7,117/194,0.6030927835051546
paper_style_proposed,exotic,22,11,2,D7,117/194,0.6030927835051546
paper_style_proposed,exotic,23,12,1,D7,117/194,0.6030927835051546
paper_style_proposed,exotic,24,12,2,G7,12/97,0.12371134020618557
boulez_two_family_proposed,ordinary,1,1,1,C7,409/6336,0.06455176767676768
boulez_two_family_proposed,ordinary,2,1,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,3,2,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,4,2,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,5,3,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,6,3,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,7,4,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,8,4,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,9,5,1,F7,12/97,0.12371134020618557
boulez_two_family_proposed,ordinary,10,5,2,C7,25/388,0.06443298969072164
boulez_two_family_proposed,ordinary,11,6,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,12,6,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,13,7,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,14,7,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,15,8,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,16,8,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,17,9,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,18,9,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,19,10,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,20,10,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,21,11,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,22,11,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,23,12,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,ordinary,24,12,2,G7,25/388,0.06443298969072164
boulez_two_family_proposed,exotic,1,1,1,C7,409/6336,0.06455176767676768
boulez_two_family_proposed,exotic,2,1,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,3,2,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,4,2,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,5,3,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,6,3,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,7,4,1,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,8,4,2,C7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,9,5,1,F7,12/97,0.12371134020618557
boulez_two_family_proposed,exotic,10,5,2,Bbm,13/194,0.06701030927835051
boulez_two_family_proposed,exotic,11,6,1,Eb7,33/59,0.559322033898305
boulez_two_family_proposed,exotic,12,6,2,Abm,13/194,0.06701030927835051
boulez_two_family_proposed,exotic,13,7,1,Db7,33/59,0.559322033898305
boulez_two_family_proposed,exotic,14,7,2,Gb7,12/97,0.12371134020618557
boulez_two_family_proposed,exotic,15,8,1,Bm,13/194,0.06701030927835051
boulez_two_family_proposed,exotic,16,8,2,E7,33/59,0.559322033898305
boulez_two_family_proposed,exotic,17,9,1,Am,13/194,0.06701030927835051
boulez_two_family_proposed,exotic,18,9,2,D7,33/59,0.559322033898305
boulez_two_family_proposed,exotic,19,10,1,D7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,20,10,2,D7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,21,11,1,D7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,22,11,2,D7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,23,12,1,D7,117/194,0.6030927835051546
boulez_two_family_proposed,exotic,24,12,2,G7,12/97,0.12371134020618557
boulez_two_family_proposed,boulez,1,1,1,C7,409/6336,0.06455176767676768
boulez_two_family_proposed,boulez,2,1,2,Fm,13/194,0.06701030927835051
boulez_two_family_proposed,boulez,3,2,1,Bb7,33/59,0.559322033898305
boulez_two_family_proposed,boulez,4,2,2,Ebm,13/194,0.06701030927835051
boulez_two_family_proposed,boulez,5,3,1,Ab7,33/59,0.559322033898305
boulez_two_family_proposed,boulez,6,3,2,Db7,12/97,0.12371134020618557
boulez_two_family_proposed,boulez,7,4,1,Dbm,5/388,0.01288659793814433
boulez_two_family_proposed,boulez,8,4,2,Cm,9/118,0.07627118644067797
boulez_two_family_proposed,boulez,9,5,1,F7,33/59,0.559322033898305
boulez_two_family_proposed,boulez,10,5,2,Bbm,13/194,0.06701030927835051
boulez_two_family_proposed,boulez,11,6,1,Eb7,33/59,0.559322033898305
boulez_two_family_proposed,boulez,12,6,2,Abm,13/194,0.06701030927835051
boulez_two_family_proposed,boulez,13,7,1,Gm,9/118,0.07627118644067797
boulez_two_family_proposed,boulez,14,7,2,Gbm,9/118,0.07627118644067797
boulez_two_family_proposed,boulez,15,8,1,B7,33/59,0.559322033898305
boulez_two_family_proposed,boulez,16,8,2,Gb7,25/388,0.06443298969072164
boulez_two_family_proposed,boulez,17,9,1,Bm,13/194,0.06701030927835051
boulez_two_family_proposed,boulez,18,9,2,E7,33/59,0.559322033898305
